,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
91,Ali Al-Bulaihi,DF,sa Saudi Arabia,33-023,1.sa Al-Hilal,1989,3,3,216,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8d7b2936
92,Firas Al-Buraikan,MFFW,sa Saudi Arabia,22-214,1.sa Al-Fateh,2000,3,3,268,3,0,1,0,0,0,0,0,0,0.34,0.34,0,0.34,0.1,0.1,0.1,0.2,0.04,0.02,0.06,0.04,0.06,Matches,ac717a23
93,Sergio Busquets,MF,es Spain,34-151,1.es Barcelona,1988,4,4,363,4,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.04,0.02,0.06,0.04,0.06,Matches,5ab0ea87
94,Martín Cáceres,DF,uy Uruguay,35-251,1.us LA Galaxy,1987,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e94d79e3
95,Moisés Caicedo,MF,ec Ecuador,21-042,1.eng Brighton,2001,3,3,269,3,1,0,1,0,0,1,0,0.33,0,0.33,0.33,0.33,0.5,0.5,0,0.5,0.17,0,0.17,0.17,0.17,Matches,16264a81
96,Francisco Calvo,DF,cr Costa Rica,30-159,1.tr Konyaspor,1992,2,2,180,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,706bd23f
97,Eduardo Camavinga,DF,fr France,20-034,1.es Real Madrid,2002,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,7b9c2d84
98,Joel Campbell,FWMF,cr Costa Rica,30-171,1.mx León,1992,3,3,269,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0.02,0,0.02,Matches,895ff3ca
99,João Cancelo,DF,pt Portugal,28-201,1.eng Manchester City,1994,4,3,310,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,bd6351cd
100,Agustín Canobbio,MF,uy Uruguay,24-074,1.br Atl Paranaense,1998,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4f5a2f38
101,Yannick Carrasco,FWDF,be Belgium,29-101,1.es Atlético Madrid,1993,2,2,116,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0,0.3,0.22,0,0.22,0.22,0.22,Matches,de39485a
102,Cameron Carter-Vickers,DF,us United States,24-348,1.sct Celtic,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,88ced02c
103,Dani Carvajal,DF,es Spain,30-337,1.es Real Madrid,1992,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4958bfb2
104,William Carvalho,MF,pt Portugal,30-251,1.es Betis,1992,4,2,215,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03,Matches,dee86451
105,Casemiro,MF,br Brazil,30-294,1.eng Manchester Utd,1992,4,4,390,4.3,1,0,1,0,0,1,0,0.23,0,0.23,0.23,0.23,0.4,0.4,0.1,0.6,0.1,0.04,0.14,0.1,0.14,Matches,4d224fe8
106,Matty Cash,DF,pl Poland,25-129,1.eng Aston Villa,1997,4,4,360,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.2,0.2,0.01,0.04,0.05,0.01,0.05,Matches,2389cdc2
107,Timothy Castagne,DF,be Belgium,27-009,1.eng Leicester City,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,197640fd
108,Jean-Charles Castelletto,DF,cm Cameroon,27-322,1.fr Nantes,1995,2,2,180,2,1,1,1,0,0,0,0,0.5,0.5,1,0.5,1,0.9,0.9,0.3,1.2,0.47,0.15,0.62,0.47,0.62,Matches,e0f3a1f6
109,Lucas Cavallini,FW,ca Canada,29-351,1.us Vancouver,1992,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,dd8de641
110,Edinson Cavani,FW,uy Uruguay,35-303,1.es Valencia,1987,3,1,124,1.4,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.7,1,0.21,0.5,0.71,0.21,0.71,Matches,527f063d
111,Ghaylène Chaalali,MF,tn Tunisia,28-289,1.tn Espérance de Tunis,1994,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,fb3f920a
112,Daniel Chacón,MF,cr Costa Rica,21-247,1.cr CS Cartaginés,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,065a00d5
113,Kwon Chang-hoon,FWMF,kr Korea Republic,28-167,1.kr Sangju Sangmu,1994,1,1,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.29,0.29,0,0.29,Matches,7961f7aa
114,Luis Chávez,MF,mx Mexico,26-333,1.mx Pachuca,1996,3,3,270,3,1,0,1,0,0,0,0,0.33,0,0.33,0.33,0.33,0.3,0.3,0.5,0.7,0.1,0.15,0.25,0.1,0.25,Matches,e50949ea
115,Walid Cheddira,FW,ma Morocco,24-326,2.it Bari,1998,2,0,64,0.7,0,0,0,0,0,2,1,0,0,0,0,0,0.5,0.5,0,0.5,1.24,0,1.24,1.24,1.24,Matches,0545a08e
