,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
236,Bruno Guimarães,MF,br Brazil,25-028,1.eng Newcastle Utd,1997,2,0,69,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0.7,0.7,0,0.7,0.92,0,0.92,0.92,0.92,Matches,82518f62
237,İlkay Gündoğan,MF,de Germany,32-051,1.eng Manchester City,1990,3,3,189,2.1,1,0,0,1,1,0,0,0.48,0,0.48,0,0,1.1,0.4,0.1,0.5,0.54,0.05,0.6,0.17,0.22,Matches,819b3158
238,Erick Gutiérrez,MF,mx Mexico,27-182,1.nl PSV Eindhoven,1995,1,0,49,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c7842dab
239,Joško Gvardiol,DF,hr Croatia,20-325,1.de RB Leipzig,2002,6,6,600,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0.01,0.02,0.02,0.02,Matches,5ad50391
240,Asiri Haitham,FW,sa Saudi Arabia,21-264,2.sa Al-Ahli,2001,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9c08d5cd
241,Ehsan Hajsafi,MFDF,ir IR Iran,32-292,1.gr AEK Athens,1990,3,3,237,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.06,0.08,0.15,0.06,0.15,Matches,b060e3b8
242,Achraf Hakimi,DF,ma Morocco,24-040,1.fr Paris S-G,1998,5,5,451,5,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.1,0.1,0.3,0.4,0.02,0.07,0.09,0.02,0.09,Matches,e42d61c7
243,Abderrazak Hamdallah,FW,ma Morocco,31-362,1.sa Al-Ittihad,1990,3,0,43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.12,0,0.12,0.12,0.12,Matches,fe73f8c6
244,Abdelkarim Hassan,DF,qa Qatar,29-108,1.qa Al Sadd SC,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.1,0.01,0.11,0.1,0.11,Matches,7380bccf
245,Ali Al Hassan,MF,sa Saudi Arabia,25-285,1.sa Al-Nassr,1997,1,1,45,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.15,0,0.15,0.15,0.15,Matches,68b689fa
246,Abdulaziz Hatem,MF,qa Qatar,32-047,1.qa Al Rayyan SC,1990,3,2,196,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches,c5065ef8
247,Kai Havertz,FW,de Germany,23-186,1.eng Chelsea,1999,2,1,102,1.1,2,0,2,0,0,0,0,1.76,0,1.76,1.76,1.76,1.4,1.4,0.2,1.6,1.19,0.17,1.36,1.19,1.36,Matches,fed7cb61
248,Hassan Al-Haydos,MF,qa Qatar,32-003,1.qa Al Sadd SC,1990,3,3,206,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.01,0.27,0.27,0.01,0.27,Matches,41bd6c64
249,Eden Hazard,MF,be Belgium,31-341,1.es Real Madrid,1991,3,2,124,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0.01,0.05,0.04,0.05,Matches,a39bb753
250,Thorgan Hazard,FW,be Belgium,29-260,1.de Dortmund,1993,2,1,106,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.3,0,1.07,1.07,0,1.07,Matches,50871bcc
251,Hwang Hee-chan,MFFW,kr Korea Republic,26-322,1.eng Wolves,1996,2,1,115,1.3,1,0,1,0,0,1,0,0.78,0,0.78,0.78,0.78,0.9,0.9,0,1,0.72,0.03,0.75,0.72,0.75,Matches,169fd162
252,Jordan Henderson,MF,eng England,32-180,1.eng Liverpool,1990,4,3,271,3,1,0,1,0,0,0,0,0.33,0,0.33,0.33,0.33,0.2,0.2,0.3,0.5,0.05,0.11,0.16,0.05,0.16,Matches,935e6b8f
253,Wayne Hennessey,GK,wls Wales,35-324,1.eng Nott'ham Forest,1987,2,2,175,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,76eca7e2
254,Lucas Hernández,DF,fr France,26-303,1.de Bayern Munich,1996,1,1,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c3ee18ef
255,Theo Hernández,DF,fr France,25-069,1.it Milan,1997,4,3,348,3.9,0,2,0,0,0,1,0,0,0.52,0.52,0,0.52,0.3,0.3,1.2,1.5,0.07,0.32,0.39,0.07,0.39,Matches,d4c9725f
256,Héctor Herrera,MF,mx Mexico,32-239,1.us Houston Dynamo,1990,2,2,160,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.06,0.06,0,0.06,Matches,a8542814
257,Son Heung-min,FWMF,kr Korea Republic,30-159,1.eng Tottenham,1992,4,4,360,4,0,1,0,0,0,0,0,0,0.25,0.25,0,0.25,0.4,0.4,1,1.4,0.11,0.24,0.35,0.11,0.35,Matches,92e7e919
258,Piero Hincapié,DF,ec Ecuador,20-339,1.de Leverkusen,2002,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0c7a48f8
259,Jonas Hofmann,FW,de Germany,30-153,1.de M'Gladbach,1992,2,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,0.82,0.16,0.98,0.82,0.98,Matches,2903a856
260,Junior Hoilett,FWMF,ca Canada,32-192,2.eng Reading,1990,3,2,161,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.08,0.21,0.28,0.08,0.28,Matches,33af5b9e
261,Martin Hongla,MF,cm Cameroon,24-273,1.it Hellas Verona,1998,2,2,121,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.04,0.05,0.09,0.04,0.09,Matches,b85bf253
262,Ricardo Horta,FW,pt Portugal,28-090,1.pt Braga,1994,3,1,119,1.3,1,0,1,0,0,0,0,0.76,0,0.76,0.76,0.76,0.8,0.8,0.1,0.8,0.58,0.05,0.63,0.58,0.63,Matches,6603fed7
263,Hossein Hosseini,GK,ir IR Iran,30-167,1.ir Esteghlal,1992,2,1,161,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,fb24817c
264,Majid Hosseini,DF,ir IR Iran,26-177,1.tr Kayserispor,1996,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d2161bae
265,Ajdin Hrustic,MFFW,au Australia,26-162,1.it Hellas Verona,1996,3,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,1f2d714c
266,Atiba Hutchinson,MF,ca Canada,39-309,1.tr Beşiktaş,1983,3,2,159,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.07,0,0.07,0.07,0.07,Matches,f1b55719
267,Pierre Højbjerg,MF,dk Denmark,27-131,1.eng Tottenham,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02,Matches,8b04d6c1
268,Romario Ibarra,MF,ec Ecuador,28-081,1.mx Pachuca,1994,2,1,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.19,0,0.19,0.19,0.19,Matches,b494ccf5
269,Ivan Ilić,MF,rs Serbia,21-272,1.it Hellas Verona,2001,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches,bb376bed
270,Hwang In-beom,MF,kr Korea Republic,26-085,1.gr Olympiacos,1996,4,4,334,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.06,0.02,0.08,0.06,0.08,Matches,92fa5d28
271,Jackson Irvine,MFFW,au Australia,29-282,2.de St. Pauli,1993,4,4,354,3.9,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0,0.6,0.13,0.01,0.14,0.13,0.14,Matches,4637747c
272,Ko Itakura,DF,jp Japan,25-321,1.de M'Gladbach,1997,3,3,270,3,0,1,0,0,0,2,0,0,0.33,0.33,0,0.33,0.2,0.2,0.1,0.2,0.05,0.03,0.08,0.05,0.08,Matches,97d545ae
273,Hiroki Ito,DF,jp Japan,23-216,1.de Stuttgart,1999,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0,0.09,Matches,204dded0
274,Junya Ito,MFFW,jp Japan,29-280,1.fr Reims,1993,4,3,324,3.6,0,1,0,0,0,0,0,0,0.28,0.28,0,0.28,0.2,0.2,0.2,0.4,0.05,0.07,0.12,0.05,0.12,Matches,dbd3a428
275,Yahya Jabrane,MF,ma Morocco,31-179,1.ma Wydad Casablanca,1991,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,Matches,143efbd5
276,Nicolas Jackson,FW,sn Senegal,21-177,1.es Villarreal,2001,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9c36ed83
277,Lee Jae-sung,MFFW,kr Korea Republic,30-126,1.de Mainz 05,1992,3,3,211,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.03,0.01,0.03,Matches,34b0387f
278,Alireza Jahanbakhsh,MF,ir IR Iran,29-125,1.nl Feyenoord,1993,2,1,59,0.7,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0,0.2,0.29,0,0.29,0.29,0.29,Matches,8452314
279,Ismail Jakobs,DF,sn Senegal,23-119,1.fr Monaco,1999,4,3,278,3.1,0,1,0,0,0,1,0,0,0.32,0.32,0,0.32,0,0,0.3,0.3,0,0.1,0.11,0,0.11,Matches,a0415710
280,Abolfazl Jalali,DF,ir IR Iran,24-171,1.ir Esteghlal,1998,1,0,19,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d932eeee
281,Daniel James,FWMF,wls Wales,25-034,1.eng Fulham,1997,3,2,154,1.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,c931d9f9
282,Vincent Janssen,FW,nl Netherlands,28-182,1.be Antwerp,1994,2,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.09,0.04,0.13,0.09,0.13,Matches,31dce0c8
283,Ardon Jasari,FW,ch Switzerland,20-137,1.ch Luzern,2002,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,889588db
284,Issam Jebali,FW,tn Tunisia,30-354,1.dk Odense,1991,3,2,182,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,0.26,0.08,0.34,0.26,0.34,Matches,4b751020
285,Artur Jędrzejczyk,DF,pl Poland,35-040,1.pl Legia Warsaw,1987,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d1943c8b
286,Mathias Jensen,MF,dk Denmark,26-347,1.eng Brentford,1996,2,1,84,0.9,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.11,0.38,0.5,0.11,0.5,Matches,0f134faf
287,Gabriel Jesus,FW,br Brazil,25-255,1.eng Arsenal,1997,3,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,0.35,0.23,0.58,0.35,0.58,Matches,b66315ae
288,Raúl Jiménez,FW,mx Mexico,31-223,1.eng Wolves,1991,3,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b561db50
289,Kim Jin-su,DF,kr Korea Republic,30-184,1.kr Jeonbuk,1992,4,4,315,3.5,0,1,0,0,0,0,0,0,0.29,0.29,0,0.29,0.3,0.3,0.6,0.9,0.09,0.17,0.27,0.09,0.27,Matches,8e6ff136
290,Brennan Johnson,FWMF,wls Wales,21-205,1.eng Nott'ham Forest,2001,3,0,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.21,0,0.21,0.21,0.21,Matches,0cd31129
291,Alistair Johnston,DF,ca Canada,24-067,1.us CF Montréal,1998,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.8,0.8,0.2,1,0.27,0.06,0.33,0.27,0.33,Matches,4fb17e20
292,Frenkie de Jong,MF,nl Netherlands,25-216,1.es Barcelona,1997,5,5,475,5.3,1,1,1,0,0,1,0,0.19,0.19,0.38,0.19,0.38,0.9,0.9,0.2,1.1,0.18,0.04,0.22,0.18,0.22,Matches,1bacc518
293,Luuk de Jong,FW,nl Netherlands,32-109,1.nl PSV Eindhoven,1990,1,0,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.25,0,0.25,0.25,0.25,Matches,abb3bb95
294,Luka Jović,FW,rs Serbia,24-356,1.it Fiorentina,1997,1,0,36,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.13,0.4,0.53,0.13,0.53,Matches,4d8cd038
295,Son Jun-ho,MFDF,kr Korea Republic,30-216,1.cn Shandong Lunen,1992,3,0,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f7c7ba0d
296,Vinicius Júnior,FW,br Brazil,22-155,1.es Real Madrid,2000,4,4,299,3.3,1,2,1,0,0,0,0,0.3,0.6,0.9,0.3,0.9,1,1,0.7,1.7,0.3,0.2,0.5,0.3,0.5,Matches,7111d552
297,Josip Juranović,DF,hr Croatia,27-120,1.sct Celtic,1995,6,6,600,6.7,0,1,0,0,0,0,0,0,0.15,0.15,0,0.15,0,0,0.3,0.4,0.01,0.05,0.06,0.01,0.06,Matches,0a084b35
298,Daichi Kamada,FWMF,jp Japan,26-131,1.de Eint Frankfurt,1996,4,4,322,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0.7,0.18,0.01,0.19,0.18,0.19,Matches,15b287da
299,Jakub Kamiński,MF,pl Poland,20-192,1.de Wolfsburg,2002,4,2,233,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.3,0.2,0.5,0.14,0.09,0.23,0.1,0.19,Matches,202b3b68
300,Hossein Kanaanizadegan,DF,ir IR Iran,28-266,1.qa Al Ahli SC,1994,1,0,45,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,24353c25
301,Harry Kane,FW,eng England,29-139,1.eng Tottenham,1993,5,5,402,4.5,2,3,1,1,2,0,0,0.45,0.67,1.12,0.22,0.9,2.7,1.1,1.5,2.6,0.6,0.34,0.94,0.25,0.59,Matches,21a66f6a
302,Lee Kangin,MFFW,kr Korea Republic,21-298,1.es Mallorca,2001,4,1,147,1.6,0,1,0,0,0,1,0,0,0.61,0.61,0,0.61,0.2,0.2,0.3,0.4,0.09,0.17,0.27,0.09,0.27,Matches,8455ad90
303,Mohamed Kanno,MFFW,sa Saudi Arabia,28-083,1.sa Al-Hilal,1994,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.1,0,0.1,0.1,0.1,Matches,74ccf212
304,Fran Karačić,DF,au Australia,26-216,2.it Brescia,1996,2,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.17,0.09,0.27,0.17,0.27,Matches,e2f8c69c
305,Ali Karimi,MF,ir IR Iran,28-306,1.tr Kayserispor,1994,3,1,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3840bfb9
306,Mark-Anthony Kaye,MF,ca Canada,28-012,1.us Toronto FC,1994,1,1,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches,36a38acd
307,Wajdi Kechrida,DF,tn Tunisia,27-039,1.gr Atromitos,1995,3,1,111,1.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.08,0.08,0,0.08,Matches,11962fe7
308,Thilo Kehrer,DF,de Germany,26-084,1.eng West Ham,1996,1,1,69,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,51dbeea9
309,Wahbi Khazri,FWMF,tn Tunisia,31-309,1.fr Montpellier,1991,2,1,83,0.9,1,0,1,0,0,0,0,1.08,0,1.08,1.08,1.08,0.4,0.4,0,0.4,0.47,0,0.47,0.47,0.47,Matches,2677a1de
310,Musab Kheder,DF,qa Qatar,29-079,1.qa Al Sadd SC,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d9261523
311,Boualem Khoukhi,DF,qa Qatar,32-158,1.qa Al Sadd SC,1990,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7be5ad52
312,Joshua Kimmich,MFDF,de Germany,27-309,1.de Bayern Munich,1995,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,1.1,1.5,0.12,0.37,0.49,0.12,0.49,Matches,49296448
313,Jakub Kiwior,DF,pl Poland,22-302,1.it Spezia,2000,4,4,355,3.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,dc3e663e
314,Simon Kjær,DF,dk Denmark,33-263,1.it Milan,1989,1,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8b8a56ce
315,Davy Klaassen,MFFW,nl Netherlands,29-296,1.nl Ajax,1993,4,3,190,2.1,1,2,1,0,0,0,0,0.47,0.95,1.42,0.47,1.42,0.2,0.2,0.3,0.5,0.11,0.14,0.25,0.11,0.25,Matches,15fd5593
316,Lukas Klostermann,DF,de Germany,26-194,1.de RB Leipzig,1996,2,0,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ca8033cb
317,Gregor Kobel,GK,ch Switzerland,25-008,1.de Dortmund,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,cd59b9df
318,Koke,MF,es Spain,30-340,1.es Atlético Madrid,1992,2,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,55126f3b
319,Randal Kolo Muani,FW,fr France,24-009,1.de Eint Frankfurt,1998,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,c0b3669f
320,Ibrahima Konaté,DF,fr France,23-203,1.eng Liverpool,1999,3,2,196,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.17,0,0.17,0.17,0.17,Matches,5ed9b537
321,Ismaël Koné,MFDF,ca Canada,20-191,1.us CF Montréal,2002,3,0,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.05,0.05,0,0.05,Matches,e0220b70
322,Teun Koopmeiners,MF,nl Netherlands,24-289,1.it Atalanta,1998,5,1,219,2.4,0,1,0,0,0,1,0,0,0.41,0.41,0,0.41,0.1,0.1,0.2,0.3,0.04,0.09,0.13,0.04,0.13,Matches,a26fb8aa
323,Filip Kostić,DF,rs Serbia,30-043,1.it Juventus,1992,2,2,179,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.03,0.01,0.03,Matches,b1cd37e6
324,Kalidou Koulibaly,DF,sn Senegal,31-177,1.eng Chelsea,1991,4,4,360,4,1,0,1,0,0,1,0,0.25,0,0.25,0.25,0.25,0.5,0.5,0,0.5,0.12,0.01,0.13,0.12,0.13,Matches,da974c7b
325,Jules Koundé,DF,fr France,24-032,1.es Barcelona,1998,4,3,271,3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0.06,0.02,0.08,0.06,0.08,Matches,4d1666ff
326,Cheikhou Kouyaté,MF,sn Senegal,32-358,1.eng Nott'ham Forest,1989,1,1,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches,8d3c902d
327,Mateo Kovačić,MF,hr Croatia,28-222,1.eng Chelsea,1994,6,6,545,6.1,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,1,1,0.01,0.16,0.17,0.01,0.17,Matches,79c0821a
328,Andrej Kramarić,FW,hr Croatia,31-178,1.de Hoffenheim,1991,6,6,414,4.6,2,0,2,0,0,0,0,0.43,0,0.43,0.43,0.43,1.6,1.6,0.2,1.7,0.34,0.03,0.37,0.34,0.37,Matches,603cb947
329,Grzegorz Krychowiak,MF,pl Poland,32-319,1.sa Al-Shabab,1990,4,4,332,3.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.01,0.05,0.05,0.01,0.05,Matches,580d52dd
330,Takefusa Kubo,FW,jp Japan,21-193,1.es Real Sociedad,2001,2,2,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,16aa3654
331,Pierre Kunde,MF,cm Cameroon,27-141,1.gr Olympiacos,1995,2,2,131,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.15,0.05,0.2,0.15,0.2,Matches,9ceb7642
332,Garang Kuol,FWMF,au Australia,18-090,1.au Central Coast,2004,2,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.92,0,0.92,0.92,0.92,Matches,a8a80be7
333,Daniel Kyereh,MFDF,gh Ghana,26-281,1.de Freiburg,1996,3,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2770726a
334,Kwon Kyung-won,DF,kr Korea Republic,30-317,1.jp Gamba Osaka,1992,2,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,ad1516af
335,Aïssa Laïdouni,MF,tn Tunisia,26-001,1.hu Ferencváros,1996,3,3,243,2.7,0,1,0,0,0,1,0,0,0.37,0.37,0,0.37,0.1,0.1,0.4,0.6,0.05,0.16,0.21,0.05,0.21,Matches,22798128
336,Tariq Lamptey,DF,gh Ghana,22-075,1.eng Brighton,2000,2,1,102,1.1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.06,0,0.06,0.06,0.06,Matches,f4e433d4
337,Noa Lang,MF,nl Netherlands,23-180,1.be Club Brugge,1999,1,0,8,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,Matches,8e034340
338,Aymeric Laporte,DF,es Spain,28-201,1.eng Manchester City,1994,3,3,300,3.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02,Matches,119b9a8e
339,Cyle Larin,FW,ca Canada,27-241,1.be Club Brugge,1995,3,2,137,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,0.16,0.34,0.49,0.16,0.49,Matches,e7af9060
340,Richie Laryea,DFMF,ca Canada,27-341,1.us Toronto FC,1995,3,2,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0.04,0.3,0.34,0.04,0.34,Matches,276fdbe4
341,Darko Lazović,DF,rs Serbia,32-090,1.it Hellas Verona,1990,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches,5128bde4
342,Rafael Leão,FW,pt Portugal,23-187,1.it Milan,1999,5,0,88,1,2,0,2,0,0,0,0,2.05,0,2.05,2.05,2.05,0.4,0.4,0.2,0.6,0.42,0.16,0.57,0.42,0.57,Matches,20730eae
343,Mathew Leckie,MFFW,au Australia,31-313,1.au Melb City,1991,4,4,333,3.7,1,1,1,0,0,0,0,0.27,0.27,0.54,0.27,0.54,0.1,0.1,0.3,0.5,0.04,0.08,0.12,0.04,0.12,Matches,b93b7882
344,Robert Lewandowski,FW,pl Poland,34-115,1.es Barcelona,1988,4,4,360,4,2,1,1,1,2,0,0,0.5,0.25,0.75,0.25,0.5,2.9,1.4,0.4,1.8,0.73,0.1,0.83,0.34,0.44,Matches,8d78e732
345,Matthijs de Ligt,DF,nl Netherlands,23-124,1.de Bayern Munich,1999,2,1,91,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d6e53a3a
346,Jesper Lindstrøm,MFFW,dk Denmark,22-288,1.de Eint Frankfurt,2000,3,2,200,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.14,0,0.14,0.14,0.14,Matches,37dc1a48
347,Marko Livaja,FWMF,hr Croatia,29-110,1.hr Hajduk Split,1993,5,2,176,2,1,0,1,0,0,0,0,0.51,0,0.51,0.51,0.51,0.8,0.8,0,0.8,0.43,0.02,0.44,0.43,0.44,Matches,6e5497ca
348,Dominik Livaković,GK,hr Croatia,27-339,1.hr Dinamo Zagreb,1995,6,6,600,6.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,58f077c0
349,Marcos Llorente,DF,es Spain,27-318,1.es Atlético Madrid,1995,1,1,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,02c15616
350,Hugo Lloris,GK,fr France,35-353,1.eng Tottenham,1986,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8f62b6ee
351,Dejan Lovren,DF,hr Croatia,33-162,1.ru Zenit,1989,6,6,600,6.7,0,1,0,0,0,1,0,0,0.15,0.15,0,0.15,0.3,0.3,0,0.3,0.04,0.01,0.05,0.04,0.05,Matches,1a2935f6
352,Hirving Lozano,FW,mx Mexico,27-137,1.it Napoli,1995,3,3,252,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1,1.2,0.07,0.36,0.42,0.07,0.42,Matches,a69e4806
353,Romelu Lukaku,FW,be Belgium,29-215,1.it Inter,1993,2,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.7,0,1.8,2.84,0.06,2.9,2.84,2.9,Matches,5eae500a
354,Saša Lukić,MF,rs Serbia,26-123,1.it Torino,1996,3,3,245,2.7,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02,Matches,c6e8cf1f
355,Ali Maâloul,DF,tn Tunisia,32-347,1.eg Al Ahly SC,1990,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c69ff23a
